,Job_Title,Company_Name,Skills,Level,Type,Job_Category,Years_of_experience
0,Business Development Specialist - Upper Egypt, golden, Business Development · Sales Skills · Sales · Sales Target · Architecture · Interior Designing · Marketing · Market Research · Marketing Analysis · English - June 16,Experienced,Full Time,Software Engneering ,   2+ Yrs of Exp
1,Senior/Intermediate .NET Core Developer (Remote..., Confidential, Software · Software Engineering · Software Development · Web Development · .Net · ASP.Net · Web Application · jQuery · Javascript · Ajax - June 27,Experienced,Full Time,Software Engneering ,   4+ Yrs of Exp
2,Senior Software Developer, Bnsights, · Software Development · Information Technology (IT) · Computer Science · SQL · MVC · Angular · C# · .NET · Programming · Design · Software · javaScript - June 30,Experienced,Full Time,Software Engneering ,   6-10 Yrs of E
3,Software Developer / Desktop Development, ITS,· Computer Science · Information Technology (IT) · Software Development · .NET · C# · SQL · WCF · OOP · Debugging · Oracle · Architecture · javaScript - July 29,Entry Level,Full Time,Software Engneering ,   0-2 Yrs of Ex
4,Senior Software Developer -Dynamics 365..., CrossWorkers, · AL Language · Azure SQL · C# · Computer Science · Dynamics 365 · Software Development · VS Code · IT/Software Development - July 27,Experienced,Full Time,Software Engneering ,   4-12 Yrs of E
5,Vodafone Egypt Customer Care Advisor, Vodafone Egypt,· Advisor · Customer Care · Customer Service · Customer Support · English · Communication · CCNA · Call Center · Customer Service/Support - July 25,Entry Level,Full Time,Software Engneering ,   0-3 Yrs of Ex
6,Senior Software Developer - Java, CrossWorkers, Information Technology (IT) · Computer Science · Software Development · Programming · javaScript · Software · HTML · CSS · English · Unit Testing · Java - July 7,Experienced,Full Time,Software Engneering ,   4+ Yrs of Exp
7,Software Developer - As/400 Developer, Target Recruitment  & HR Solutions, · Software Development · Information Technology (IT) · MS SQL · AS400 · SQL · BI · Computer Science · javaScript · English · IT · Human Resources (HR) - June 24,Experienced,Full Time,Software Engneering ,   5-10 Yrs of E
8,IT Developer, Confidential,· Computer Science · End-user support · Engineering · Desktop Support · Technical Support · Information Technology · IT · Request Management Process · SDLC - June 20,Experienced,Full Time,IT Category,   2-3 Yrs of Ex
9,Software Developer, Off-Beat,· Software Development · C# · Information Technology (IT) · Communication skills · Software Engineering · Communication · Computer Science - New,Entry Level,Full Time,Software Engneering ,   0-1 Yrs of Ex
10,Software Developer (AWS Serverless), FlairsTech,· AWS · JavaScript · TypeScript · AWS Serverless · Information Technology (IT) · Computer Science · Software Development · Lambda · English · CI · CD - New,Entry Level,Full Time,Software Engneering ,   1-5 Yrs of Ex
11,Senior Software Developer, Off-Beat,· Software Development · C# · Information Technology (IT) · Computer Science · Software Engineering · IT/Software Development - New,Experienced,Full Time,Software Engneering ,   2-3 Yrs of Ex
12,Senior Software Developer – C# + Blazor, CrossWorkers,· Software Development · C# · Information Technology (IT) · Computer Science · HTML · CSS · Software · English · Programming · Development · SQL - June 21,Experienced,Full Time,Software Engneering ,   3-6 Yrs of Ex
13,Software Developer, BPOHIVE,From Home ·  1-3 Yrs of Exp · virtual assistant · content creation · App development · Programming · Javascript · Ruby · SASS · IT · Computer science · Upwork - July 24,Entry Level,Full Time And Part Time,Software Engneering , Part Time · Wor
14,Senior Software Developer, Saudisoft,· Accounting · Angular · Computer Science · Development · Programming · Information Technology (IT) · IT/Software Development - New,Experienced,Full Time,Software Engneering ,   4-5 Yrs of Ex
15,Software Developer (Gupta Programming), ITS,· Computer Science · Computer Engineering · Information Technology (IT) · Gupta Programming · Oracle · SQL · Sybase · C# · OOP · Software Development - July 26,Entry Level,Full Time,Software Engneering ,   1-3 Yrs of Ex
16,Software Web Tester, ProfileTree, · Software Testing · Testing · Software · Web · Software Development · Quality · Cross Browser · Test · Information Technology (IT) · Computer Science - August 4,Experienced,Full Time,Software Engneering ,   2-10 Yrs of E
17,Senior E-Commerce Software Developer (Magento 2), shop4build, From Home ·  2+ Yrs of Exp · E-Commerce · PHP · MySQL · Agile · Information Technology (IT) · Computer Science · Software · CSS · javaScript · HTML - New,Experienced,Full Time,Software Engneering ,  Part Time · Wo
18,Software Business Development Executive, Restart Technology,· Sales Skills · Software · Information Technology · IT · Sales · Business Development · Sales Target · Business · Business Development · Sales/Retail - August 2,Experienced,Full Time,Software Engneering ,   2-3 Yrs of Ex
19,Software Business Development Executive, intrazero, Sales · Business Development · Sales Target · Sales Skills · Communication · Communication Skills · Skills · Selling · CRM · Software · Software Sales - August 2,Experienced,Full Time,Software Engneering ,   2+ Yrs of Exp
20,Senior Software Developer, AHCC, Information Technology (IT) · Software Development · Computer Science · Software Engineering · javaScript · ASP.NET · Programming · HTML5 · jQuery · MVC - New,Experienced,Full Time,Software Engneering ,   4+ Yrs of Exp
21,Software Developer – Backend, Confidential,  1-2 Yrs of Exp · .Net · ASP.Net · Computer Science · JavaScript · MySQL · HTML · CSS · Software Engineering · Web Development · Software Development - New,Entry Level,Full Time,Software Engneering ,  Work From Home
22,Software Developer – Frontend, Confidential,  1-2 Yrs of Exp · CSS · HTML · Web API · REST · Computer Science · Software Development · UI · UX · SPA · Front End · Frontend · C# · Javascript - New,Entry Level,Full Time,Software Engneering ,  Work From Home
23,Software Engineer, Mitcha,· Programming · Computer Science · Python · PHP · Java · Hosting · UNIX · Information Technology (IT) · Software Engineering · Software Development - July 26,Experienced,Full Time,Software Engneering ,   2-4 Yrs of Ex
24,Software Developer, IOP,ormation Technology (IT) · Software Development · Computer Science · web service · system integration · IOT · AI · SQL · database hosting · Programming · java - August 2,Entry Level,Internship,Software Engneering , Internship ·  I
25,Software Developer - CRM, Veripark,  5+ Yrs of Exp · CRM · Computer Science · Software Development · .NET · C# · javaScript · SQL · ASP.NET · Software · Microsoft Office · SSRS · HTML - August 4,Experienced,Full Time,Software Engneering ,  Work From Home
26,Associate Software Developer - CRM, Veripark, CRM · Software Development · Information Technology (IT) · Computer Science · Engineering · MS Dynamics CRM · Computer Engineering · MS CRM · Electronics - August 4,Experienced,Full Time,Software Engneering ,   3+ Yrs of Exp
27,Software Developer, HITS Technologies,· Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Integration · Software Development · Software Engineering · JSON - July 29,Entry Level,Full Time,Software Engneering ,   1-3 Yrs of Ex
28,Java Software Developer, Tawzef,· Software Development · Engineering · Java · Computer Science · Information Technology (IT) · Development · Java Development · Computer · Science - August 2,Experienced,Full Time,Software Engneering ,   2-3 Yrs of Ex
29,Senior Full Stack Software Developer, FlairsTech,· .Net · ASP.Net · Computer Science · AngularJS · Agile · Information Technology (IT) · MS SQL · SQL · Software Development · Full Stack - New,Experienced,Full Time,Software Engneering ,   5-7 Yrs of Ex
