,Job_Title,Company_Name,Job_Description
0,Sales Supervisor - North Upper Egypt,PepsiCo International,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28, 2020"
1,Junior Technical Support Engineer - Upper Egypt,MigrationIT.com,"Full Time · Entry Level · 1-2 Yrs of Exp · ITIL · Technical Support · Information Technology (IT) · Computer Science · Engineering · Computer Engineering · Software · Hardware - November 10, 2020"
2,Software Developer,Rednet It Services,Full Time · Experienced · 2-3 Yrs of Exp · Software Development · C# · .NET · OOP · ADO.NET · SSRS · SSIS · Computer Engineering · Computer Science · Windows Forms · XML · javaScript · XSLT - New
3,Senior Software Quality Control Engineer,Bnsights,Full Time · Experienced · 3-5 Yrs of Exp · Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - New
4,Senior E-Commerce Software Developer (Magento 2),shop4build,Full Time · Part Time · Work From Home · Experienced · 2+ Yrs of Exp · E-Commerce · PHP · MySQL · Agile · Information Technology (IT) · Computer Science · Software · CSS · javaScript · HTML - New
5,Software Developer,Interact Technology Solutions,· Experienced · 2-4 Yrs of Exp · Microsoft Office · OOP concept · C# · ASP.NET · JavaScript · SQL · Microsoft CRM · SharePoint · MVC · Knockout · Angular JS · Computer Engineering · .NET - New
6,Senior Software Developer,BlueCloud,"Full Time · Experienced · 3-6 Yrs of Exp · Information Technology (IT) · Software Engineering · Engineering · Computer Science · Programming · C++ · C/C++ · C#.Net · SQL · MySQL · SOAP · XSLT - November 22, 2020"
7,Software Quality Control Engineer,Bnsights,Full Time · Entry Level · 0-3 Yrs of Exp · Computer Science · Quality Control · Information Technology (IT) · Quality Assurance · Software Testing · Testing · Software Development · ISTQB · Agile - New
8,Senior Software Developer,BlueCloud,"Full Time · Experienced · 3-6 Yrs of Exp · Information Technology (IT) · Software Engineering · Engineering · Computer Science · Programming · C++ · C/C++ · C#.Net · SQL · MySQL · SOAP · XSLT - November 22, 2020"
9,Software Development Manager,Nahdet Misr Publishing Group,"Full Time · Manager · 10+ Yrs of Exp · Software Development · Development · Software · Information Technology (IT) · Computer Science · Software Engineering · .NET · IT/Software Development - November 23, 2020"
10,Software Developer,Bnsights,Full Time · Entry Level · 0-3 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SQL · Software · Angular · C# · .NET · Design · MVC - New
11,Sales Supervisor - South Upper Egypt,PepsiCo International,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28, 2020"
12,ERP Sales Professional - For Egypt and Saudi...,OdooTec,"Full Time · Experienced · 2+ Yrs of Exp · ERP · Odoo · CRM · Sales · Enterprise Software · eCommerce · IT · IT Sales · Software · Enterprise · B2B · Business Selling · Business Development - November 15, 2020"
13,Sales Supervisor - North Upper Egypt,PepsiCo International,"Full Time · Manager · 1-3 Yrs of Exp · FMCG · Sales · Retail · Sales Skills · Sales/Retail - October 28, 2020"
14,Software Development Manager,Nahdet Misr Publishing Group,"Full Time · Manager · 10+ Yrs of Exp · Software Development · Development · Software · Information Technology (IT) · Computer Science · Software Engineering · .NET · IT/Software Development - November 23, 2020"
15,ERP Sales Professional - For Egypt and Saudi...,OdooTec,"Full Time · Experienced · 2+ Yrs of Exp · ERP · Odoo · CRM · Sales · Enterprise Software · eCommerce · IT · IT Sales · Software · Enterprise · B2B · Business Selling · Business Development - November 15, 2020"
16,Senior Software Developer – “.Net Core” (4-6...,CrossWorkers,"· Experienced · 3-15 Yrs of Exp · Information Technology (IT) · Software Development · Computer Science · Software Engineering · SCRUM · Git · Unit Test · Web API · ASP.NET · MVC · .NET Core - November 22, 2020"
17,Senior Software Developer (Embedded C++),CrossWorkers,"Full Time · Experienced · 4+ Yrs of Exp · Information Technology (IT) · Computer Science · Software Development · Software Engineering · Software · Agile · C++ · Programming · Scrum · Embedded - November 22, 2020"
18,Software Developer,Rashideen Egypt for Trade,"Full Time · Entry Level · 1-3 Yrs of Exp · Information Technology (IT) · Computer Science · Computer Engineering · Software Development · Software Engineering · Microsoft SQL Server · ERP · SQL - October 25, 2020"
